      Freq,    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),    Re(Pin),    Im(Pin),   Re(Zout),   Im(Zout),   Re(Pout),   Im(Pout),    Re(Zin),    Im(Zin),     Re(Av),     Im(Av),     Re(Ai),     Im(Ai)
        Hz,          V,          V,          V,          V,          A,          A,          A,          A,          W,          W,       Ohms,       Ohms,          W,          W,       Ohms,       Ohms,          L,          L,          L,          L
 1.000e+01,  3.750e+00, -3.122e-06,  1.250e+00, -9.366e-06,  2.500e-02,  6.244e-08,  2.500e-02, -1.873e-07,  9.375e-02, -3.122e-07,  1.500e+02, -4.496e-03,  3.125e-02,  7.941e-23,  1.500e+02, -4.995e-04,  3.333e-01, -2.220e-06,  1.000e+00, -9.990e-06
 2.041e+05,  3.740e+00, -6.226e-02,  1.221e+00, -1.868e-01,  2.519e-02,  1.245e-03,  2.443e-02, -3.736e-03,  9.415e-02, -6.226e-03,  1.092e+02, -6.677e+01,  3.054e-02,  8.674e-19,  1.480e+02, -9.788e+00,  3.273e-01, -4.449e-02,  9.601e-01, -1.958e-01
 4.082e+05,  3.714e+00, -1.165e-01,  1.143e+00, -3.496e-01,  2.571e-02,  2.331e-03,  2.286e-02, -6.992e-03,  9.523e-02, -1.165e-02,  6.008e+01, -7.350e+01,  2.858e-02, -3.469e-18,  1.429e+02, -1.748e+01,  3.104e-01, -8.438e-02,  8.574e-01, -3.496e-01
 6.123e+05,  3.678e+00, -1.579e-01,  1.033e+00, -4.737e-01,  2.645e-02,  3.158e-03,  2.065e-02, -9.475e-03,  9.677e-02, -1.579e-02,  3.435e+01, -6.303e+01,  2.582e-02,  3.469e-18,  1.364e+02, -2.226e+01,  2.858e-01, -1.165e-01,  7.277e-01, -4.451e-01
 8.163e+05,  3.637e+00, -1.855e-01,  9.097e-01, -5.564e-01,  2.727e-02,  3.709e-03,  1.819e-02, -1.113e-02,  9.848e-02, -1.855e-02,  2.147e+01, -5.253e+01,  2.274e-02,  0.000e+00,  1.300e+02, -2.449e+01,  2.573e-01, -1.399e-01,  6.006e-01, -4.898e-01
 1.020e+06,  3.596e+00, -2.010e-01,  7.889e-01, -6.031e-01,  2.807e-02,  4.021e-03,  1.578e-02, -1.206e-02,  1.002e-01, -2.010e-02,  1.449e+01, -4.431e+01,  1.972e-02,  1.735e-18,  1.245e+02, -2.500e+01,  2.280e-01, -1.550e-01,  4.904e-01, -4.999e-01
 1.224e+06,  3.560e+00, -2.076e-01,  6.787e-01, -6.227e-01,  2.881e-02,  4.151e-03,  1.357e-02, -1.245e-02,  1.017e-01, -2.076e-02,  1.037e+01, -3.805e+01,  1.697e-02,  0.000e+00,  1.200e+02, -2.450e+01,  2.002e-01, -1.633e-01,  4.006e-01, -4.900e-01
 1.429e+06,  3.528e+00, -2.079e-01,  5.825e-01, -6.236e-01,  2.945e-02,  4.157e-03,  1.165e-02, -1.247e-02,  1.030e-01, -2.079e-02,  7.759e+00, -3.322e+01,  1.456e-02, -1.735e-18,  1.165e+02, -2.350e+01,  1.750e-01, -1.665e-01,  3.293e-01, -4.700e-01
 1.633e+06,  3.500e+00, -2.042e-01,  5.007e-01, -6.125e-01,  3.000e-02,  4.083e-03,  1.001e-02, -1.225e-02,  1.042e-01, -2.042e-02,  6.014e+00, -2.943e+01,  1.252e-02,  2.602e-18,  1.137e+02, -2.228e+01,  1.527e-01, -1.661e-01,  2.732e-01, -4.456e-01
 1.837e+06,  3.477e+00, -1.981e-01,  4.319e-01, -5.944e-01,  3.045e-02,  3.963e-03,  8.639e-03, -1.189e-02,  1.051e-01, -1.981e-02,  4.792e+00, -2.638e+01,  1.080e-02, -1.735e-18,  1.114e+02, -2.101e+01,  1.335e-01, -1.633e-01,  2.290e-01, -4.202e-01
 2.041e+06,  3.458e+00, -1.909e-01,  3.744e-01, -5.726e-01,  3.084e-02,  3.817e-03,  7.489e-03, -1.145e-02,  1.059e-01, -1.909e-02,  3.905e+00, -2.389e+01,  9.361e-03,  0.000e+00,  1.097e+02, -1.977e+01,  1.171e-01, -1.591e-01,  1.939e-01, -3.954e-01
 2.245e+06,  3.442e+00, -1.830e-01,  3.264e-01, -5.491e-01,  3.116e-02,  3.660e-03,  6.529e-03, -1.098e-02,  1.066e-01, -1.830e-02,  3.242e+00, -2.181e+01,  8.161e-03, -4.337e-19,  1.083e+02, -1.860e+01,  1.030e-01, -1.540e-01,  1.658e-01, -3.719e-01
