      Freq,    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),    Re(Pin),    Im(Pin),   Re(Zout),   Im(Zout),   Re(Pout),   Im(Pout),    Re(Zin),    Im(Zin),     Re(Av),     Im(Av),     Re(Ai),     Im(Ai)
        Hz,          V,          V,          V,          V,          A,          A,          A,          A,          W,          W,       Ohms,       Ohms,          W,          W,       Ohms,       Ohms,          L,          L,          L,          L
 1.000e+01,  2.500e+00, -3.907e-05,  2.500e+00, -8.777e-05,  5.000e-02,  7.815e-07,  5.000e-02, -1.755e-06,  1.250e-01, -3.907e-06,  5.000e+01, -1.563e-03,  1.250e-01,  0.000e+00,  5.000e+01, -1.563e-03,  1.000e+00, -1.948e-05,  1.000e+00, -5.074e-05
 2.041e+05,  1.771e+00, -2.914e-01,  1.790e+00, -1.559e+00,  6.458e-02,  5.827e-03,  3.579e-02, -3.118e-02,  1.127e-01, -2.914e-02,  3.606e+01, -2.440e+01,  1.127e-01, -2.776e-17,  2.679e+01, -6.929e+00,  1.125e+00, -6.954e-01,  5.065e-01, -5.285e-01
 4.082e+05,  1.454e+00,  1.072e+00,  2.834e-01, -1.982e+00,  7.091e-02, -2.144e-02,  5.667e-03, -3.963e-02,  8.015e-02,  1.072e-01,  1.669e+01, -2.752e+01,  8.015e-02,  0.000e+00,  1.461e+01,  1.953e+01, -5.245e-01, -9.759e-01,  2.281e-01, -4.900e-01
 6.123e+05,  3.116e+00,  1.934e+00, -7.265e-01, -1.266e+00,  3.767e-02, -3.867e-02, -1.453e-02, -2.532e-02,  4.262e-02,  1.934e-01,  6.209e+00, -2.197e+01,  4.262e-02,  0.000e+00,  1.462e+01,  6.634e+01, -3.503e-01, -1.889e-01,  1.482e-01, -5.201e-01
 8.163e+05,  4.638e+00,  8.801e-01, -8.276e-01, -4.663e-01,  7.230e-03, -1.760e-02, -1.655e-02, -9.327e-03,  1.805e-02,  8.801e-02,  2.159e+00, -1.643e+01,  1.805e-02, -8.674e-19,  4.984e+01,  2.431e+02, -1.906e-01, -6.437e-02,  1.229e-01, -9.908e-01
 1.020e+06,  4.851e+00, -6.038e-01, -5.942e-01, -7.287e-02,  2.981e-03,  1.208e-02, -1.188e-02, -1.457e-03,  7.167e-03, -6.038e-02,  7.853e-01, -1.264e+01,  7.167e-03,  5.421e-19,  4.632e+01, -3.903e+02, -1.188e-01, -2.981e-02, -3.427e-01,  8.995e-01
 1.224e+06,  4.364e+00, -1.620e+00, -3.806e-01,  6.016e-02,  1.271e-02,  3.241e-02, -7.612e-03,  1.203e-03,  2.969e-03, -1.620e-01,  3.130e-01, -1.018e+01,  2.969e-03, -1.084e-19,  2.450e+00, -1.337e+02, -8.113e-02, -1.634e-02, -4.767e-02,  2.162e-01
 1.429e+06,  3.721e+00, -2.166e+00, -2.410e-01,  9.074e-02,  2.559e-02,  4.333e-02, -4.821e-03,  1.815e-03,  1.327e-03, -2.166e-01,  1.373e-01, -8.521e+00,  1.327e-03,  0.000e+00,  5.240e-01, -8.556e+01, -5.899e-02, -9.957e-03, -1.766e-02,  1.008e-01
 1.633e+06,  3.125e+00, -2.414e+00, -1.559e-01,  8.785e-02,  3.751e-02,  4.828e-02, -3.118e-03,  1.757e-03,  6.404e-04, -2.414e-01,  6.559e-02, -7.333e+00,  6.404e-04,  5.421e-20,  1.713e-01, -6.458e+01, -4.485e-02, -6.531e-03, -8.590e-03,  5.790e-02
 1.837e+06,  2.625e+00, -2.494e+00, -1.038e-01,  7.606e-02,  4.751e-02,  4.987e-02, -2.076e-03,  1.521e-03,  3.313e-04, -2.494e-01,  3.372e-02, -6.443e+00,  3.313e-04,  2.711e-20,  6.983e-02, -5.256e+01, -3.526e-02, -4.521e-03, -4.802e-03,  3.706e-02
 2.041e+06,  2.219e+00, -2.482e+00, -7.124e-02,  6.341e-02,  5.563e-02,  4.965e-02, -1.425e-03,  1.268e-03,  1.819e-04, -2.482e-01,  1.845e-02, -5.752e+00,  1.819e-04, -1.355e-20,  3.273e-02, -4.465e+01, -2.846e-02, -3.262e-03, -2.932e-03,  2.542e-02
 2.245e+06,  1.891e+00, -2.424e+00, -5.026e-02,  5.226e-02,  6.218e-02,  4.847e-02, -1.005e-03,  1.045e-03,  1.051e-04, -2.424e-01,  1.063e-02, -5.198e+00,  1.051e-04,  1.355e-20,  1.692e-02, -3.899e+01, -2.346e-02, -2.432e-03, -1.905e-03,  1.829e-02
 2.449e+06,  1.626e+00, -2.342e+00, -3.636e-02,  4.304e-02,  6.747e-02,  4.683e-02, -7.272e-04,  8.608e-04,  6.348e-05, -2.342e-01,  6.407e-03, -4.743e+00,  6.348e-05,  0.000e+00,  9.411e-03, -3.471e+01, -1.967e-02, -1.863e-03, -1.297e-03,  1.366e-02
 2.653e+06,  1.411e+00, -2.250e+00, -2.689e-02,  3.560e-02,  7.179e-02,  4.500e-02, -5.378e-04,  7.119e-04,  3.980e-05, -2.250e-01,  4.011e-03, -4.364e+00,  3.980e-05, -3.388e-21,  5.545e-03, -3.134e+01, -1.674e-02, -1.458e-03, -9.161e-04,  1.049e-02
 2.857e+06,  1.233e+00, -2.155e+00, -2.029e-02,  2.963e-02,  7.533e-02,  4.310e-02, -4.057e-04,  5.925e-04,  2.578e-05, -2.155e-01,  2.596e-03, -4.041e+00,  2.578e-05,  0.000e+00,  3.423e-03, -2.861e+01, -1.441e-02, -1.164e-03, -6.668e-04,  8.247e-03
 3.061e+06,  1.087e+00, -2.062e+00, -1.557e-02,  2.484e-02,  7.827e-02,  4.124e-02, -3.115e-04,  4.967e-04,  1.719e-05, -2.062e-01,  1.729e-03, -3.764e+00,  1.719e-05,  0.000e+00,  2.196e-03, -2.635e+01, -1.254e-02, -9.433e-04, -4.976e-04,  6.609e-03
 3.265e+06,  9.638e-01, -1.972e+00, -1.214e-02,  2.097e-02,  8.072e-02,  3.944e-02, -2.429e-04,  4.195e-04,  1.175e-05, -1.972e-01,  1.181e-03, -3.522e+00,  1.175e-05,  8.470e-22,  1.455e-03, -2.443e+01, -1.101e-02, -7.754e-04, -3.792e-04,  5.382e-03
 3.469e+06,  8.601e-01, -1.887e+00, -9.604e-03,  1.784e-02,  8.280e-02,  3.774e-02, -1.921e-04,  3.569e-04,  8.212e-06, -1.887e-01,  8.248e-04, -3.311e+00,  8.212e-06,  0.000e+00,  9.918e-04, -2.279e+01, -9.750e-03, -6.452e-04, -2.943e-04,  4.444e-03
 3.673e+06,  7.720e-01, -1.807e+00, -7.691e-03,  1.528e-02,  8.456e-02,  3.613e-02, -1.538e-04,  3.057e-04,  5.855e-06, -1.807e-01,  5.878e-04, -3.123e+00,  5.855e-06,  0.000e+00,  6.924e-04, -2.137e+01, -8.692e-03, -5.427e-04, -2.320e-04,  3.714e-03
 3.878e+06,  6.966e-01, -1.731e+00, -6.229e-03,  1.318e-02,  8.607e-02,  3.463e-02, -1.246e-04,  2.636e-04,  4.249e-06, -1.731e-01,  4.264e-04, -2.956e+00,  4.249e-06, -6.353e-22,  4.937e-04, -2.012e+01, -7.797e-03, -4.608e-04, -1.855e-04,  3.137e-03
 4.082e+06,  6.315e-01, -1.661e+00, -5.097e-03,  1.143e-02,  8.737e-02,  3.322e-02, -1.019e-04,  2.287e-04,  3.134e-06, -1.661e-01,  3.144e-04, -2.806e+00,  3.134e-06,  2.118e-22,  3.587e-04, -1.901e+01, -7.034e-03, -3.946e-04, -1.501e-04,  2.674e-03
