      Freq,    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),    Re(Pin),    Im(Pin),   Re(Zout),   Im(Zout),   Re(Pout),   Im(Pout),    Re(Zin),    Im(Zin),     Re(Av),     Im(Av),     Re(Ai),     Im(Ai)
        Hz,          V,          V,          V,          V,          A,          A,          A,          A,          W,          W,       Ohms,       Ohms,          W,          W,       Ohms,       Ohms,          L,          L,          L,          L
 1.000e+01,  2.500e+00, -1.272e-04,  2.500e+00, -2.365e-04,  5.000e-02,  2.543e-06,  5.000e-02, -4.730e-06,  1.250e-01, -1.272e-05,  5.000e+01, -5.086e-03,  1.250e-01, -5.082e-21,  5.000e+01, -5.086e-03,  1.000e+00, -4.373e-05,  1.000e+00, -1.455e-04
 2.041e+05,  1.504e+00,  1.028e-01, -2.353e-01, -2.279e+00,  6.991e-02, -2.056e-03, -4.707e-03, -4.558e-02,  1.050e-01,  1.028e-02,  2.146e+01,  2.102e+00,  1.050e-01,  5.204e-18,  2.146e+01,  2.102e+00, -2.587e-01, -1.497e+00, -4.811e-02, -6.533e-01
 4.082e+05,  1.819e+00, -9.054e-01, -1.781e+00,  1.339e+00,  6.362e-02,  1.811e-02, -3.562e-02,  2.679e-02,  9.934e-02, -9.054e-02,  2.271e+01, -2.069e+01,  9.934e-02,  6.939e-18,  2.271e+01, -2.069e+01, -1.078e+00,  1.996e-01, -4.071e-01,  5.370e-01
 6.123e+05,  1.436e+00, -2.234e+00,  3.234e-01, -1.540e-01,  7.127e-02,  4.468e-02,  6.468e-03, -3.080e-03,  2.566e-03, -2.234e-01,  3.627e-01, -3.157e+01,  2.566e-03,  4.337e-19,  3.627e-01, -3.157e+01,  1.146e-01,  7.107e-02,  4.571e-02, -7.186e-02
 8.163e+05,  5.510e-01, -1.565e+00,  2.863e-02, -3.565e-02,  8.898e-02,  3.130e-02,  5.725e-04, -7.129e-04,  4.180e-05, -1.565e-01,  4.699e-03, -1.759e+01,  4.180e-05,  6.776e-21,  4.699e-03, -1.759e+01,  2.599e-02,  9.138e-03,  3.217e-03, -9.144e-03
 1.020e+06,  3.126e-01, -1.210e+00,  5.815e-03, -1.051e-02,  9.375e-02,  2.421e-02,  1.163e-04, -2.102e-04,  2.885e-06, -1.210e-01,  3.077e-04, -1.291e+01,  2.885e-06,  2.118e-22,  3.077e-04, -1.291e+01,  9.303e-03,  2.402e-03,  6.202e-04, -2.402e-03
 1.224e+06,  2.049e-01, -9.913e-01,  1.717e-03, -3.976e-03,  9.590e-02,  1.983e-02,  3.435e-05, -7.952e-05,  3.752e-07, -9.913e-02,  3.912e-05, -1.034e+01,  3.752e-07,  0.000e+00,  3.912e-05, -1.034e+01,  4.190e-03,  8.662e-04,  1.791e-04, -8.662e-04
 1.429e+06,  1.458e-01, -8.412e-01,  6.338e-04, -1.774e-03,  9.708e-02,  1.682e-02,  1.268e-05, -3.547e-05,  7.095e-08, -8.412e-02,  7.308e-06, -8.665e+00,  7.095e-08,  0.000e+00,  7.308e-06, -8.665e+00,  2.174e-03,  3.767e-04,  6.528e-05, -3.767e-04
 1.633e+06,  1.094e-01, -7.314e-01,  2.718e-04, -8.885e-04,  9.781e-02,  1.463e-02,  5.436e-06, -1.777e-05,  1.727e-08, -7.314e-02,  1.765e-06, -7.477e+00,  1.727e-08,  8.272e-25,  1.765e-06, -7.477e+00,  1.243e-03,  1.858e-04,  2.779e-05, -1.858e-04
 1.837e+06,  8.525e-02, -6.473e-01,  1.300e-04, -4.851e-04,  9.829e-02,  1.295e-02,  2.601e-06, -9.703e-06,  5.046e-09, -6.473e-02,  5.133e-07, -6.585e+00,  5.046e-09,  0.000e+00,  5.133e-07, -6.585e+00,  7.627e-04,  1.005e-04,  1.323e-05, -1.005e-04
 2.041e+06,  6.840e-02, -5.808e-01,  6.764e-05, -2.832e-04,  9.863e-02,  1.162e-02,  1.353e-06, -5.664e-06,  1.695e-09, -5.808e-02,  1.719e-07, -5.888e+00,  1.695e-09,  5.170e-26,  1.719e-07, -5.888e+00,  4.945e-04,  5.823e-05,  6.858e-06, -5.823e-05
 2.245e+06,  5.614e-02, -5.268e-01,  3.758e-05, -1.743e-04,  9.888e-02,  1.054e-02,  7.517e-07, -3.487e-06,  6.362e-10, -5.268e-02,  6.434e-08, -5.328e+00,  6.362e-10,  0.000e+00,  6.434e-08, -5.328e+00,  3.348e-04,  3.567e-05,  3.801e-06, -3.567e-05
 2.449e+06,  4.692e-02, -4.821e-01,  2.203e-05, -1.121e-04,  9.906e-02,  9.642e-03,  4.407e-07, -2.242e-06,  2.611e-10, -4.821e-02,  2.636e-08, -4.867e+00,  2.611e-10,  0.000e+00,  2.636e-08, -4.867e+00,  2.348e-04,  2.285e-05,  2.224e-06, -2.285e-05
 2.653e+06,  3.982e-02, -4.444e-01,  1.350e-05, -7.476e-05,  9.920e-02,  8.888e-03,  2.701e-07, -1.495e-06,  1.154e-10, -4.444e-02,  1.164e-08, -4.480e+00,  1.154e-10, -6.462e-27,  1.164e-08, -4.480e+00,  1.696e-04,  1.519e-05,  1.361e-06, -1.519e-05
 2.857e+06,  3.422e-02, -4.122e-01,  8.594e-06, -5.141e-05,  9.932e-02,  8.245e-03,  1.719e-07, -1.028e-06,  5.433e-11, -4.122e-02,  5.470e-09, -4.151e+00,  5.433e-11,  0.000e+00,  5.470e-09, -4.151e+00,  1.256e-04,  1.042e-05,  8.654e-07, -1.042e-05
 3.061e+06,  2.974e-02, -3.844e-01,  5.648e-06, -3.629e-05,  9.941e-02,  7.689e-03,  1.130e-07, -7.258e-07,  2.698e-11, -3.844e-02,  2.714e-09, -3.867e+00,  2.698e-11, -8.078e-28,  2.714e-09, -3.867e+00,  9.497e-05,  7.346e-06,  5.682e-07, -7.346e-06
 3.265e+06,  2.608e-02, -3.602e-01,  3.816e-06, -2.621e-05,  9.948e-02,  7.203e-03,  7.633e-08, -5.243e-07,  1.403e-11, -3.602e-02,  1.411e-09, -3.621e+00,  1.403e-11,  0.000e+00,  1.411e-09, -3.621e+00,  7.317e-05,  5.298e-06,  3.836e-07, -5.298e-06
 3.469e+06,  2.306e-02, -3.388e-01,  2.642e-06, -1.932e-05,  9.954e-02,  6.776e-03,  5.284e-08, -3.863e-07,  7.602e-12, -3.388e-02,  7.638e-10, -3.404e+00,  7.602e-12,  0.000e+00,  7.638e-10, -3.404e+00,  5.728e-05,  3.899e-06,  2.654e-07, -3.899e-06
 3.673e+06,  2.054e-02, -3.198e-01,  1.869e-06, -1.449e-05,  9.959e-02,  6.396e-03,  3.738e-08, -2.898e-07,  4.268e-12, -3.198e-02,  4.286e-10, -3.211e+00,  4.268e-12, -1.010e-28,  4.286e-10, -3.211e+00,  4.549e-05,  2.922e-06,  1.877e-07, -2.922e-06
 3.878e+06,  1.841e-02, -3.029e-01,  1.347e-06, -1.104e-05,  9.963e-02,  6.057e-03,  2.695e-08, -2.208e-07,  2.474e-12, -3.029e-02,  2.483e-10, -3.040e+00,  2.474e-12,  0.000e+00,  2.483e-10, -3.040e+00,  3.659e-05,  2.224e-06,  1.352e-07, -2.224e-06
 4.082e+06,  1.660e-02, -2.876e-01,  9.880e-07, -8.531e-06,  9.967e-02,  5.752e-03,  1.976e-08, -1.706e-07,  1.475e-12, -2.876e-02,  1.480e-10, -2.886e+00,  1.475e-12, -2.524e-29,  1.480e-10, -2.886e+00,  2.976e-05,  1.718e-06,  9.913e-08, -1.718e-06
 4.286e+06,  1.504e-02, -2.738e-01,  7.358e-07, -6.677e-06,  9.970e-02,  5.477e-03,  1.472e-08, -1.335e-07,  9.024e-13, -2.738e-02,  9.051e-11, -2.747e+00,  9.024e-13, -2.524e-29,  9.051e-11, -2.747e+00,  2.446e-05,  1.343e-06,  7.380e-08, -1.343e-06
 4.490e+06,  1.370e-02, -2.613e-01,  5.556e-07, -5.286e-06,  9.973e-02,  5.227e-03,  1.111e-08, -1.057e-07,  5.650e-13, -2.613e-02,  5.665e-11, -2.620e+00,  5.650e-13,  1.262e-29,  5.665e-11, -2.620e+00,  2.028e-05,  1.063e-06,  5.571e-08, -1.063e-06
