      Freq,    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),    Re(Pin),    Im(Pin),   Re(Zout),   Im(Zout),   Re(Pout),   Im(Pout),    Re(Zin),    Im(Zin),     Re(Av),     Im(Av),     Re(Ai),     Im(Ai)
        Hz,          V,          V,          V,          V,          A,          A,          A,          A,          W,          W,       Ohms,       Ohms,          W,          W,       Ohms,       Ohms,          L,          L,          L,          L
10.0,2.700e+0,0.000e+3,5.000e-1,0.000e+3,4.600e-2,0.000e+3,6.667e-3,0.000e+3,1.242e-1,0.000e+3,9.375e+1,0.000e+3,3.333e-3,0.000e+3,5.870e+1,0.000e+3,1.852e-1,0.000e+3,1.449e-1,0.000e+3
1.111e+06,2.700e+0,0.000e+3,5.000e-1,0.000e+3,4.600e-2,0.000e+3,6.667e-3,0.000e+3,1.242e-1,0.000e+3,9.375e+1,0.000e+3,3.333e-3,0.000e+3,5.870e+1,0.000e+3,1.852e-1,0.000e+3,1.449e-1,0.000e+3
2.222e+06,2.700e+0,0.000e+3,5.000e-1,0.000e+3,4.600e-2,0.000e+3,6.667e-3,0.000e+3,1.242e-1,0.000e+3,9.375e+1,0.000e+3,3.333e-3,0.000e+3,5.870e+1,0.000e+3,1.852e-1,0.000e+3,1.449e-1,0.000e+3
3.333e+06,2.700e+0,0.000e+3,5.000e-1,0.000e+3,4.600e-2,0.000e+3,6.667e-3,0.000e+3,1.242e-1,0.000e+3,9.375e+1,0.000e+3,3.333e-3,0.000e+3,5.870e+1,0.000e+3,1.852e-1,0.000e+3,1.449e-1,0.000e+3
4.444e+06,2.700e+0,0.000e+3,5.000e-1,0.000e+3,4.600e-2,0.000e+3,6.667e-3,0.000e+3,1.242e-1,0.000e+3,9.375e+1,0.000e+3,3.333e-3,0.000e+3,5.870e+1,0.000e+3,1.852e-1,0.000e+3,1.449e-1,0.000e+3
5.556e+06,2.700e+0,0.000e+3,5.000e-1,0.000e+3,4.600e-2,0.000e+3,6.667e-3,0.000e+3,1.242e-1,0.000e+3,9.375e+1,0.000e+3,3.333e-3,0.000e+3,5.870e+1,0.000e+3,1.852e-1,0.000e+3,1.449e-1,0.000e+3
6.667e+06,2.700e+0,0.000e+3,5.000e-1,0.000e+3,4.600e-2,0.000e+3,6.667e-3,0.000e+3,1.242e-1,0.000e+3,9.375e+1,0.000e+3,3.333e-3,0.000e+3,5.870e+1,0.000e+3,1.852e-1,0.000e+3,1.449e-1,0.000e+3
7.778e+06,2.700e+0,0.000e+3,5.000e-1,0.000e+3,4.600e-2,0.000e+3,6.667e-3,0.000e+3,1.242e-1,0.000e+3,9.375e+1,0.000e+3,3.333e-3,0.000e+3,5.870e+1,0.000e+3,1.852e-1,0.000e+3,1.449e-1,0.000e+3
8.889e+06,2.700e+0,0.000e+3,5.000e-1,0.000e+3,4.600e-2,0.000e+3,6.667e-3,0.000e+3,1.242e-1,0.000e+3,9.375e+1,0.000e+3,3.333e-3,0.000e+3,5.870e+1,0.000e+3,1.852e-1,0.000e+3,1.449e-1,0.000e+3
1e+07,2.700e+0,0.000e+3,5.000e-1,0.000e+3,4.600e-2,0.000e+3,6.667e-3,0.000e+3,1.242e-1,0.000e+3,9.375e+1,0.000e+3,3.333e-3,0.000e+3,5.870e+1,0.000e+3,1.852e-1,0.000e+3,1.449e-1,0.000e+3
