      Freq,    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),    Re(Pin),    Im(Pin),   Re(Zout),   Im(Zout),   Re(Pout),   Im(Pout),    Re(Zin),    Im(Zin),     Re(Av),     Im(Av),     Re(Ai),     Im(Ai)
        Hz,          V,          V,          V,          V,          A,          A,          A,          A,          W,          W,       Ohms,       Ohms,          W,          W,       Ohms,       Ohms,          L,          L,          L,          L
10.0,3.750e+0,-3.122e-6,1.250e+0,-9.366e-6,2.500e-2,6.244e-8,2.500e-2,-1.873e-7,9.375e-2,-3.122e-7,1.500e+2,-4.496e-3,3.125e-2,0.000e+3,1.500e+2,-4.995e-4,3.333e-1,-2.220e-6,1.000e+0,-9.990e-6
2.041e+05,3.740e+0,-6.226e-2,1.221e+0,-1.868e-1,2.519e-2,1.245e-3,2.443e-2,-3.736e-3,9.415e-2,-6.226e-3,1.092e+2,-6.677e+1,3.054e-2,0.000e+3,1.480e+2,-9.788e+0,3.273e-1,-4.449e-2,9.601e-1,-1.958e-1
4.082e+05,3.714e+0,-1.165e-1,1.143e+0,-3.496e-1,2.571e-2,2.331e-3,2.286e-2,-6.992e-3,9.523e-2,-1.165e-2,6.008e+1,-7.350e+1,2.858e-2,0.000e+3,1.429e+2,-1.748e+1,3.104e-1,-8.438e-2,8.574e-1,-3.496e-1
6.123e+05,3.678e+0,-1.579e-1,1.033e+0,-4.737e-1,2.645e-2,3.158e-3,2.065e-2,-9.475e-3,9.677e-2,-1.579e-2,3.435e+1,-6.303e+1,2.582e-2,0.000e+3,1.364e+2,-2.226e+1,2.858e-1,-1.165e-1,7.277e-1,-4.451e-1
8.163e+05,3.637e+0,-1.855e-1,9.097e-1,-5.564e-1,2.727e-2,3.709e-3,1.819e-2,-1.113e-2,9.848e-2,-1.855e-2,2.147e+1,-5.253e+1,2.274e-2,1.735e-18,1.300e+2,-2.449e+1,2.573e-1,-1.399e-1,6.006e-1,-4.898e-1
1.02e+06,3.596e+0,-2.010e-1,7.889e-1,-6.031e-1,2.807e-2,4.021e-3,1.578e-2,-1.206e-2,1.002e-1,-2.010e-2,1.449e+1,-4.431e+1,1.972e-2,0.000e+3,1.245e+2,-2.500e+1,2.280e-1,-1.550e-1,4.904e-1,-4.999e-1
1.224e+06,3.560e+0,-2.076e-1,6.787e-1,-6.227e-1,2.881e-2,4.151e-3,1.357e-2,-1.245e-2,1.017e-1,-2.076e-2,1.037e+1,-3.805e+1,1.697e-2,0.000e+3,1.200e+2,-2.450e+1,2.002e-1,-1.633e-1,4.006e-1,-4.900e-1
1.429e+06,3.528e+0,-2.079e-1,5.825e-1,-6.236e-1,2.945e-2,4.157e-3,1.165e-2,-1.247e-2,1.030e-1,-2.079e-2,7.759e+0,-3.322e+1,1.456e-2,0.000e+3,1.165e+2,-2.350e+1,1.750e-1,-1.665e-1,3.293e-1,-4.700e-1
1.633e+06,3.500e+0,-2.042e-1,5.007e-1,-6.125e-1,3.000e-2,4.083e-3,1.001e-2,-1.225e-2,1.042e-1,-2.042e-2,6.014e+0,-2.943e+1,1.252e-2,8.674e-19,1.137e+2,-2.228e+1,1.527e-1,-1.661e-1,2.732e-1,-4.456e-1
1.837e+06,3.477e+0,-1.981e-1,4.319e-1,-5.944e-1,3.045e-2,3.963e-3,8.639e-3,-1.189e-2,1.051e-1,-1.981e-2,4.792e+0,-2.638e+1,1.080e-2,0.000e+3,1.114e+2,-2.101e+1,1.335e-1,-1.633e-1,2.290e-1,-4.202e-1
2.041e+06,3.458e+0,-1.909e-1,3.744e-1,-5.726e-1,3.084e-2,3.817e-3,7.489e-3,-1.145e-2,1.059e-1,-1.909e-2,3.905e+0,-2.389e+1,9.361e-3,-8.674e-19,1.097e+2,-1.977e+1,1.171e-1,-1.591e-1,1.939e-1,-3.954e-1
2.245e+06,3.442e+0,-1.830e-1,3.264e-1,-5.491e-1,3.116e-2,3.660e-3,6.529e-3,-1.098e-2,1.066e-1,-1.830e-2,3.242e+0,-2.181e+1,8.161e-3,0.000e+3,1.083e+2,-1.860e+1,1.030e-1,-1.540e-1,1.658e-1,-3.719e-1
2.449e+06,3.429e+0,-1.751e-1,2.862e-1,-5.252e-1,3.143e-2,3.502e-3,5.725e-3,-1.050e-2,1.071e-1,-1.751e-2,2.734e+0,-2.006e+1,7.156e-3,0.000e+3,1.072e+2,-1.751e+1,9.107e-2,-1.485e-1,1.431e-1,-3.502e-1
2.653e+06,3.417e+0,-1.673e-1,2.524e-1,-5.018e-1,3.165e-2,3.345e-3,5.049e-3,-1.004e-2,1.076e-1,-1.673e-2,2.336e+0,-1.857e+1,6.311e-3,0.000e+3,1.062e+2,-1.651e+1,8.086e-2,-1.429e-1,1.246e-1,-3.303e-1
2.857e+06,3.408e+0,-1.598e-1,2.239e-1,-4.793e-1,3.184e-2,3.195e-3,4.478e-3,-9.586e-3,1.080e-1,-1.598e-2,2.018e+0,-1.728e+1,5.597e-3,0.000e+3,1.055e+2,-1.560e+1,7.213e-2,-1.373e-1,1.093e-1,-3.120e-1
3.061e+06,3.400e+0,-1.526e-1,1.996e-1,-4.579e-1,3.200e-2,3.053e-3,3.993e-3,-9.159e-3,1.083e-1,-1.526e-2,1.761e+0,-1.616e+1,4.991e-3,2.168e-19,1.048e+2,-1.477e+1,6.464e-2,-1.318e-1,9.659e-2,-2.954e-1
3.265e+06,3.393e+0,-1.459e-1,1.789e-1,-4.378e-1,3.214e-2,2.919e-3,3.579e-3,-8.756e-3,1.086e-1,-1.459e-2,1.550e+0,-1.517e+1,4.473e-3,-2.168e-19,1.043e+2,-1.401e+1,5.818e-2,-1.265e-1,8.590e-2,-2.802e-1
3.469e+06,3.387e+0,-1.396e-1,1.611e-1,-4.189e-1,3.226e-2,2.792e-3,3.223e-3,-8.377e-3,1.089e-1,-1.396e-2,1.375e+0,-1.429e+1,4.028e-3,-2.168e-19,1.038e+2,-1.332e+1,5.258e-2,-1.215e-1,7.684e-2,-2.663e-1
3.673e+06,3.382e+0,-1.337e-1,1.458e-1,-4.012e-1,3.236e-2,2.675e-3,2.915e-3,-8.024e-3,1.091e-1,-1.337e-2,1.227e+0,-1.351e+1,3.644e-3,0.000e+3,1.035e+2,-1.268e+1,4.772e-2,-1.167e-1,6.912e-2,-2.537e-1
3.878e+06,3.377e+0,-1.282e-1,1.324e-1,-3.847e-1,3.245e-2,2.564e-3,2.648e-3,-7.693e-3,1.093e-1,-1.282e-2,1.102e+0,-1.281e+1,3.310e-3,0.000e+3,1.031e+2,-1.210e+1,4.346e-2,-1.122e-1,6.248e-2,-2.420e-1
4.082e+06,3.374e+0,-1.231e-1,1.207e-1,-3.693e-1,3.253e-2,2.462e-3,2.415e-3,-7.385e-3,1.094e-1,-1.231e-2,9.957e-1,-1.218e+1,3.018e-3,0.000e+3,1.028e+2,-1.157e+1,3.973e-2,-1.080e-1,5.673e-2,-2.313e-1
4.286e+06,3.370e+0,-1.183e-1,1.105e-1,-3.549e-1,3.260e-2,2.366e-3,2.210e-3,-7.097e-3,1.096e-1,-1.183e-2,9.037e-1,-1.161e+1,2.763e-3,-1.084e-19,1.026e+2,-1.107e+1,3.644e-2,-1.040e-1,5.173e-2,-2.215e-1
4.49e+06,3.367e+0,-1.138e-1,1.015e-1,-3.414e-1,3.266e-2,2.276e-3,2.030e-3,-6.828e-3,1.097e-1,-1.138e-2,8.239e-1,-1.109e+1,2.537e-3,0.000e+3,1.024e+2,-1.062e+1,3.353e-2,-1.003e-1,4.735e-2,-2.124e-1
