      Freq,    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),    Re(Pin),    Im(Pin),   Re(Zout),   Im(Zout),   Re(Pout),   Im(Pout),    Re(Zin),    Im(Zin),     Re(Av),     Im(Av),     Re(Ai),     Im(Ai)
        Hz,          V,          V,          V,          V,          A,          A,          A,          A,          W,          W,       Ohms,       Ohms,          W,          W,       Ohms,       Ohms,          L,          L,          L,          L
10.0,1.951e-5,3.977e-3,1.951e-5,3.977e-3,1.000e-1,-7.954e-5,3.902e-7,7.954e-5,1.635e-6,3.977e-4,1.635e-4,3.977e-2,3.164e-7,0.000e+3,1.635e-4,3.977e-2,1.000e+0,0.000e+3,3.269e-6,7.954e-4
2.041e+05,3.935e-1,-4.052e-1,3.935e-1,-4.052e-1,9.213e-2,8.105e-3,7.870e-3,-8.105e-3,3.297e-2,-4.052e-2,3.855e+0,-4.738e+0,6.381e-3,-4.337e-19,3.855e+0,-4.738e+0,1.000e+0,0.000e+3,7.709e-2,-9.475e-2
4.082e+05,1.529e-1,-3.172e-1,1.529e-1,-3.172e-1,9.694e-2,6.343e-3,3.058e-3,-6.343e-3,1.281e-2,-3.172e-2,1.357e+0,-3.360e+0,2.479e-3,0.000e+3,1.357e+0,-3.360e+0,1.000e+0,0.000e+3,2.714e-2,-6.721e-2
6.123e+05,7.572e-2,-2.359e-1,7.572e-2,-2.359e-1,9.849e-2,4.719e-3,1.514e-3,-4.719e-3,6.344e-3,-2.359e-2,6.526e-1,-2.427e+0,1.228e-3,0.000e+3,6.526e-1,-2.427e+0,1.000e+0,0.000e+3,1.305e-2,-4.854e-2
8.163e+05,4.437e-2,-1.844e-1,4.437e-2,-1.844e-1,9.911e-2,3.688e-3,8.874e-4,-3.688e-3,3.717e-3,-1.844e-2,3.779e-1,-1.875e+0,7.195e-4,0.000e+3,3.779e-1,-1.875e+0,1.000e+0,0.000e+3,7.558e-3,-3.749e-2
1.02e+06,2.895e-2,-1.505e-1,2.895e-2,-1.505e-1,9.942e-2,3.009e-3,5.791e-4,-3.009e-3,2.426e-3,-1.505e-2,2.452e-1,-1.521e+0,4.695e-4,0.000e+3,2.452e-1,-1.521e+0,1.000e+0,0.000e+3,4.904e-3,-3.042e-2
1.224e+06,2.032e-2,-1.268e-1,2.032e-2,-1.268e-1,9.959e-2,2.535e-3,4.065e-4,-2.535e-3,1.703e-3,-1.268e-2,1.716e-1,-1.277e+0,3.296e-4,0.000e+3,1.716e-1,-1.277e+0,1.000e+0,0.000e+3,3.431e-3,-2.554e-2
1.429e+06,1.503e-2,-1.094e-1,1.503e-2,-1.094e-1,9.970e-2,2.187e-3,3.006e-4,-2.187e-3,1.259e-3,-1.094e-2,1.266e-1,-1.100e+0,2.437e-4,0.000e+3,1.266e-1,-1.100e+0,1.000e+0,0.000e+3,2.533e-3,-2.199e-2
1.633e+06,1.156e-2,-9.611e-2,1.156e-2,-9.611e-2,9.977e-2,1.922e-3,2.311e-4,-1.922e-3,9.682e-4,-9.611e-3,9.724e-2,-9.652e-1,1.874e-4,0.000e+3,9.724e-2,-9.652e-1,1.000e+0,0.000e+3,1.945e-3,-1.930e-2
