      Freq,    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),    Re(Pin),    Im(Pin),   Re(Zout),   Im(Zout),   Re(Pout),   Im(Pout),    Re(Zin),    Im(Zin),     Re(Av),     Im(Av),     Re(Ai),     Im(Ai)
        Hz,          V,          V,          V,          V,          A,          A,          A,          A,          W,          W,       Ohms,       Ohms,          W,          W,       Ohms,       Ohms,          L,          L,          L,          L
10.0,5.000e+0,-1.571e-3,1.105e-6,1.571e-3,2.211e-8,3.142e-5,2.211e-8,3.142e-5,6.119e-8,-1.571e-4,6.200e+1,-1.592e+5,4.935e-8,6.462e-27,6.200e+1,-1.592e+5,1.224e-7,3.142e-4,1.000e+0,0.000e+3
2.041e+05,4.958e+0,3.051e-1,4.250e-2,-3.051e-1,8.500e-4,-6.101e-3,8.500e-4,-6.101e-3,2.353e-3,3.051e-2,6.200e+1,8.039e+2,1.897e-3,0.000e+3,6.200e+1,8.039e+2,4.768e-3,-6.183e-2,1.000e+0,0.000e+3
4.082e+05,4.989e+0,1.536e-1,1.062e-2,-1.536e-1,2.125e-4,-3.073e-3,2.125e-4,-3.073e-3,5.882e-4,1.536e-2,6.200e+1,1.620e+3,4.743e-4,0.000e+3,6.200e+1,1.620e+3,1.180e-3,-3.083e-2,1.000e+0,0.000e+3
6.123e+05,4.995e+0,1.026e-1,4.722e-3,-1.026e-1,9.444e-5,-2.051e-3,9.444e-5,-2.051e-3,2.614e-4,1.026e-2,6.200e+1,2.432e+3,2.108e-4,-1.694e-21,6.200e+1,2.432e+3,5.236e-4,-2.054e-2,1.000e+0,0.000e+3
8.163e+05,4.997e+0,7.695e-2,2.656e-3,-7.695e-2,5.312e-5,-1.539e-3,5.312e-5,-1.539e-3,1.470e-4,7.695e-3,6.200e+1,3.245e+3,1.186e-4,0.000e+3,6.200e+1,3.245e+3,2.943e-4,-1.540e-2,1.000e+0,0.000e+3
1.02e+06,4.998e+0,6.158e-2,1.700e-3,-6.158e-2,3.400e-5,-1.232e-3,3.400e-5,-1.232e-3,9.410e-5,6.158e-3,6.200e+1,4.057e+3,7.589e-5,0.000e+3,6.200e+1,4.057e+3,1.883e-4,-1.232e-2,1.000e+0,0.000e+3
1.224e+06,4.999e+0,5.132e-2,1.181e-3,-5.132e-2,2.361e-5,-1.026e-3,2.361e-5,-1.026e-3,6.535e-5,5.132e-3,6.200e+1,4.869e+3,5.270e-5,0.000e+3,6.200e+1,4.869e+3,1.307e-4,-1.027e-2,1.000e+0,0.000e+3
1.429e+06,4.999e+0,4.399e-2,8.673e-4,-4.399e-2,1.735e-5,-8.798e-4,1.735e-5,-8.798e-4,4.801e-5,4.399e-3,6.200e+1,5.681e+3,3.872e-5,0.000e+3,6.200e+1,5.681e+3,9.605e-5,-8.801e-3,1.000e+0,0.000e+3
1.633e+06,4.999e+0,3.849e-2,6.640e-4,-3.849e-2,1.328e-5,-7.699e-4,1.328e-5,-7.699e-4,3.676e-5,3.849e-3,6.200e+1,6.493e+3,2.965e-5,0.000e+3,6.200e+1,6.493e+3,7.353e-5,-7.700e-3,1.000e+0,0.000e+3
