      Freq,    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),    Re(Pin),    Im(Pin),   Re(Zout),   Im(Zout),   Re(Pout),   Im(Pout),    Re(Zin),    Im(Zin),     Re(Av),     Im(Av),     Re(Ai),     Im(Ai)
        Hz,          V,          V,          V,          V,          A,          A,          A,          A,          W,          W,       Ohms,       Ohms,          W,          W,       Ohms,       Ohms,          L,          L,          L,          L
10.0,2.500e+0,4.581e-8,2.500e+0,-1.001e-4,3.333e-2,-6.109e-10,3.333e-2,-1.334e-6,8.333e-2,3.054e-9,7.500e+1,2.749e-6,8.333e-2,0.000e+3,7.500e+1,2.749e-6,1.000e+0,-4.004e-5,1.000e+0,-4.001e-5
2.041e+05,2.374e+0,-1.124e-1,1.658e+0,-1.863e+0,3.502e-2,1.499e-3,2.211e-2,-2.484e-2,8.295e-2,-7.495e-3,6.752e+1,-6.101e+0,8.295e-2,6.939e-18,6.752e+1,-6.101e+0,7.341e-1,-7.502e-1,5.999e-1,-7.351e-1
4.082e+05,1.357e+0,3.514e-1,-6.452e-1,-2.099e+0,4.857e-2,-4.685e-3,-8.602e-3,-2.798e-2,6.427e-2,2.342e-2,2.699e+1,9.837e+0,6.427e-2,-3.469e-18,2.699e+1,9.837e+0,-8.208e-1,-1.334e+0,-1.204e-1,-5.877e-1
6.123e+05,1.860e+0,2.101e+0,-1.142e+0,-3.479e-1,4.187e-2,-2.801e-2,-1.523e-2,-4.639e-3,1.901e-2,1.401e-1,7.491e+0,5.520e+1,1.901e-2,0.000e+3,7.491e+0,5.520e+1,-3.627e-1,2.226e-1,-2.001e-1,-2.447e-1
8.163e+05,3.096e+0,2.363e+0,-5.417e-1,1.368e-1,2.538e-2,-3.150e-2,-7.223e-3,1.824e-3,4.162e-3,1.575e-1,2.543e+0,9.625e+1,4.162e-3,-2.168e-19,2.543e+0,9.625e+1,-8.928e-2,1.123e-1,-1.471e-1,-1.108e-1
1.02e+06,3.784e+0,2.125e+0,-2.494e-1,1.508e-1,1.621e-2,-2.833e-2,-3.326e-3,2.010e-3,1.133e-3,1.417e-1,1.063e+0,1.330e+2,1.133e-3,1.084e-19,1.063e+0,1.330e+2,-3.311e-2,5.843e-2,-1.040e-1,-5.786e-2
1.224e+06,4.160e+0,1.861e+0,-1.264e-1,1.128e-1,1.119e-2,-2.482e-2,-1.686e-3,1.504e-3,3.827e-4,1.241e-1,5.164e-1,1.674e+2,3.827e-4,0.000e+3,5.164e-1,1.674e+2,-1.522e-2,3.392e-2,-7.581e-2,-3.373e-2
1.429e+06,4.385e+0,1.638e+0,-7.008e-2,8.064e-2,8.195e-3,-2.184e-2,-9.344e-4,1.075e-3,1.522e-4,1.092e-1,2.796e-1,2.007e+2,1.522e-4,0.000e+3,2.796e-1,2.007e+2,-7.994e-3,2.138e-2,-5.722e-2,-2.131e-2
1.633e+06,4.530e+0,1.457e+0,-4.175e-2,5.818e-2,6.261e-3,-1.942e-2,-5.566e-4,7.757e-4,6.837e-5,9.712e-2,1.641e-1,2.332e+2,6.837e-5,0.000e+3,1.641e-1,2.332e+2,-4.608e-3,1.432e-2,-4.454e-2,-1.430e-2
1.837e+06,4.629e+0,1.309e+0,-2.634e-2,4.285e-2,4.941e-3,-1.745e-2,-3.512e-4,5.714e-4,3.374e-5,8.726e-2,1.026e-1,2.653e+2,3.374e-5,0.000e+3,1.026e-1,2.653e+2,-2.845e-3,1.006e-2,-3.559e-2,-1.005e-2
2.041e+06,4.700e+0,1.187e+0,-1.741e-2,3.228e-2,3.999e-3,-1.582e-2,-2.321e-4,4.304e-4,1.793e-5,7.912e-2,6.732e-2,2.970e+2,1.793e-5,-8.470e-22,6.732e-2,2.970e+2,-1.852e-3,7.335e-3,-2.905e-2,-7.329e-3
