      Freq,    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),    Re(Pin),    Im(Pin),   Re(Zout),   Im(Zout),   Re(Pout),   Im(Pout),    Re(Zin),    Im(Zin),     Re(Av),     Im(Av),     Re(Ai),     Im(Ai)
        Hz,          V,          V,          V,          V,          A,          A,          A,          A,          W,          W,       Ohms,       Ohms,          W,          W,       Ohms,       Ohms,          L,          L,          L,          L
10.0,2.500e+0,-3.907e-5,2.500e+0,-8.777e-5,5.000e-2,7.815e-7,5.000e-2,-1.755e-6,1.250e-1,-3.907e-6,5.000e+1,-1.563e-3,1.250e-1,0.000e+3,5.000e+1,-1.563e-3,1.000e+0,-1.948e-5,1.000e+0,-5.074e-5
2.041e+05,1.771e+0,-2.914e-1,1.790e+0,-1.559e+0,6.458e-2,5.827e-3,3.579e-2,-3.118e-2,1.127e-1,-2.914e-2,3.606e+1,-2.440e+1,1.127e-1,-6.939e-18,2.679e+1,-6.929e+0,1.125e+0,-6.954e-1,5.065e-1,-5.285e-1
4.082e+05,1.454e+0,1.072e+0,2.834e-1,-1.982e+0,7.091e-2,-2.144e-2,5.667e-3,-3.963e-2,8.015e-2,1.072e-1,1.669e+1,-2.752e+1,8.015e-2,0.000e+3,1.461e+1,1.953e+1,-5.245e-1,-9.759e-1,2.281e-1,-4.900e-1
6.123e+05,3.116e+0,1.934e+0,-7.265e-1,-1.266e+0,3.767e-2,-3.867e-2,-1.453e-2,-2.532e-2,4.262e-2,1.934e-1,6.209e+0,-2.197e+1,4.262e-2,0.000e+3,1.462e+1,6.634e+1,-3.503e-1,-1.889e-1,1.482e-1,-5.201e-1
8.163e+05,4.638e+0,8.801e-1,-8.276e-1,-4.663e-1,7.230e-3,-1.760e-2,-1.655e-2,-9.327e-3,1.805e-2,8.801e-2,2.159e+0,-1.643e+1,1.805e-2,8.674e-19,4.984e+1,2.431e+2,-1.906e-1,-6.437e-2,1.229e-1,-9.908e-1
1.02e+06,4.851e+0,-6.038e-1,-5.942e-1,-7.287e-2,2.981e-3,1.208e-2,-1.188e-2,-1.457e-3,7.167e-3,-6.038e-2,7.853e-1,-1.264e+1,7.167e-3,-1.084e-19,4.632e+1,-3.903e+2,-1.188e-1,-2.981e-2,-3.427e-1,8.995e-1
1.224e+06,4.364e+0,-1.620e+0,-3.806e-1,6.016e-2,1.271e-2,3.241e-2,-7.612e-3,1.203e-3,2.969e-3,-1.620e-1,3.130e-1,-1.018e+1,2.969e-3,-5.421e-20,2.450e+0,-1.337e+2,-8.113e-2,-1.634e-2,-4.767e-2,2.162e-1
1.429e+06,3.721e+0,-2.166e+0,-2.410e-1,9.074e-2,2.559e-2,4.333e-2,-4.821e-3,1.815e-3,1.327e-3,-2.166e-1,1.373e-1,-8.521e+0,1.327e-3,-5.421e-20,5.240e-1,-8.556e+1,-5.899e-2,-9.957e-3,-1.766e-2,1.008e-1
1.633e+06,3.125e+0,-2.414e+0,-1.559e-1,8.785e-2,3.751e-2,4.828e-2,-3.118e-3,1.757e-3,6.404e-4,-2.414e-1,6.559e-2,-7.333e+0,6.404e-4,0.000e+3,1.713e-1,-6.458e+1,-4.485e-2,-6.531e-3,-8.590e-3,5.790e-2
1.837e+06,2.625e+0,-2.494e+0,-1.038e-1,7.606e-2,4.751e-2,4.987e-2,-2.076e-3,1.521e-3,3.313e-4,-2.494e-1,3.372e-2,-6.443e+0,3.313e-4,0.000e+3,6.983e-2,-5.256e+1,-3.526e-2,-4.521e-3,-4.802e-3,3.706e-2
2.041e+06,2.219e+0,-2.482e+0,-7.124e-2,6.341e-2,5.563e-2,4.965e-2,-1.425e-3,1.268e-3,1.819e-4,-2.482e-1,1.845e-2,-5.752e+0,1.819e-4,0.000e+3,3.273e-2,-4.465e+1,-2.846e-2,-3.262e-3,-2.932e-3,2.542e-2
2.245e+06,1.891e+0,-2.424e+0,-5.026e-2,5.226e-2,6.218e-2,4.847e-2,-1.005e-3,1.045e-3,1.051e-4,-2.424e-1,1.063e-2,-5.198e+0,1.051e-4,0.000e+3,1.692e-2,-3.899e+1,-2.346e-2,-2.432e-3,-1.905e-3,1.829e-2
2.449e+06,1.626e+0,-2.342e+0,-3.636e-2,4.304e-2,6.747e-2,4.683e-2,-7.272e-4,8.608e-4,6.348e-5,-2.342e-1,6.407e-3,-4.743e+0,6.348e-5,0.000e+3,9.411e-3,-3.471e+1,-1.967e-2,-1.863e-3,-1.297e-3,1.366e-2
2.653e+06,1.411e+0,-2.250e+0,-2.689e-2,3.560e-2,7.179e-2,4.500e-2,-5.378e-4,7.119e-4,3.980e-5,-2.250e-1,4.011e-3,-4.364e+0,3.980e-5,-3.388e-21,5.545e-3,-3.134e+1,-1.674e-2,-1.458e-3,-9.161e-4,1.049e-2
2.857e+06,1.233e+0,-2.155e+0,-2.029e-2,2.963e-2,7.533e-2,4.310e-2,-4.057e-4,5.925e-4,2.578e-5,-2.155e-1,2.596e-3,-4.041e+0,2.578e-5,0.000e+3,3.423e-3,-2.861e+1,-1.441e-2,-1.164e-3,-6.668e-4,8.247e-3
3.061e+06,1.087e+0,-2.062e+0,-1.557e-2,2.484e-2,7.827e-2,4.124e-2,-3.115e-4,4.967e-4,1.719e-5,-2.062e-1,1.729e-3,-3.764e+0,1.719e-5,1.694e-21,2.196e-3,-2.635e+1,-1.254e-2,-9.433e-4,-4.976e-4,6.609e-3
3.265e+06,9.638e-1,-1.972e+0,-1.214e-2,2.097e-2,8.072e-2,3.944e-2,-2.429e-4,4.195e-4,1.175e-5,-1.972e-1,1.181e-3,-3.522e+0,1.175e-5,-8.470e-22,1.455e-3,-2.443e+1,-1.101e-2,-7.754e-4,-3.792e-4,5.382e-3
3.469e+06,8.601e-1,-1.887e+0,-9.604e-3,1.784e-2,8.280e-2,3.774e-2,-1.921e-4,3.569e-4,8.212e-6,-1.887e-1,8.248e-4,-3.311e+0,8.212e-6,0.000e+3,9.918e-4,-2.279e+1,-9.750e-3,-6.452e-4,-2.943e-4,4.444e-3
