      Freq,    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),    Re(Pin),    Im(Pin),   Re(Zout),   Im(Zout),   Re(Pout),   Im(Pout),    Re(Zin),    Im(Zin),     Re(Av),     Im(Av),     Re(Ai),     Im(Ai)
        Hz,          V,          V,          V,          V,          A,          A,          A,          A,          W,          W,       Ohms,       Ohms,          W,          W,       Ohms,       Ohms,          L,          L,          L,          L
10.0,2.500e+0,-1.272e-4,2.500e+0,-2.365e-4,5.000e-2,2.543e-6,5.000e-2,-4.730e-6,1.250e-1,-1.272e-5,5.000e+1,-5.086e-3,1.250e-1,1.694e-21,5.000e+1,-5.086e-3,1.000e+0,-4.373e-5,1.000e+0,-1.455e-4
2.041e+05,1.504e+0,1.028e-1,-2.353e-1,-2.279e+0,6.991e-2,-2.056e-3,-4.707e-3,-4.558e-2,1.050e-1,1.028e-2,2.146e+1,2.102e+0,1.050e-1,0.000e+3,2.146e+1,2.102e+0,-2.587e-1,-1.497e+0,-4.811e-2,-6.533e-1
4.082e+05,1.819e+0,-9.054e-1,-1.781e+0,1.339e+0,6.362e-2,1.811e-2,-3.562e-2,2.679e-2,9.934e-2,-9.054e-2,2.271e+1,-2.069e+1,9.934e-2,0.000e+3,2.271e+1,-2.069e+1,-1.078e+0,1.996e-1,-4.071e-1,5.370e-1
6.123e+05,1.436e+0,-2.234e+0,3.234e-1,-1.540e-1,7.127e-2,4.468e-2,6.468e-3,-3.080e-3,2.566e-3,-2.234e-1,3.627e-1,-3.157e+1,2.566e-3,0.000e+3,3.627e-1,-3.157e+1,1.146e-1,7.107e-2,4.571e-2,-7.186e-2
8.163e+05,5.510e-1,-1.565e+0,2.863e-2,-3.565e-2,8.898e-2,3.130e-2,5.725e-4,-7.129e-4,4.180e-5,-1.565e-1,4.699e-3,-1.759e+1,4.180e-5,0.000e+3,4.699e-3,-1.759e+1,2.599e-2,9.138e-3,3.217e-3,-9.144e-3
1.02e+06,3.126e-1,-1.210e+0,5.815e-3,-1.051e-2,9.375e-2,2.421e-2,1.163e-4,-2.102e-4,2.885e-6,-1.210e-1,3.077e-4,-1.291e+1,2.885e-6,0.000e+3,3.077e-4,-1.291e+1,9.303e-3,2.402e-3,6.202e-4,-2.402e-3
1.224e+06,2.049e-1,-9.913e-1,1.717e-3,-3.976e-3,9.590e-2,1.983e-2,3.435e-5,-7.952e-5,3.752e-7,-9.913e-2,3.912e-5,-1.034e+1,3.752e-7,0.000e+3,3.912e-5,-1.034e+1,4.190e-3,8.662e-4,1.791e-4,-8.662e-4
1.429e+06,1.458e-1,-8.412e-1,6.338e-4,-1.774e-3,9.708e-2,1.682e-2,1.268e-5,-3.547e-5,7.095e-8,-8.412e-2,7.308e-6,-8.665e+0,7.095e-8,3.309e-24,7.308e-6,-8.665e+0,2.174e-3,3.767e-4,6.528e-5,-3.767e-4
1.633e+06,1.094e-1,-7.314e-1,2.718e-4,-8.885e-4,9.781e-2,1.463e-2,5.436e-6,-1.777e-5,1.727e-8,-7.314e-2,1.765e-6,-7.477e+0,1.727e-8,0.000e+3,1.765e-6,-7.477e+0,1.243e-3,1.858e-4,2.779e-5,-1.858e-4
1.837e+06,8.525e-2,-6.473e-1,1.300e-4,-4.851e-4,9.829e-2,1.295e-2,2.601e-6,-9.703e-6,5.046e-9,-6.473e-2,5.133e-7,-6.585e+0,5.046e-9,0.000e+3,5.133e-7,-6.585e+0,7.627e-4,1.005e-4,1.323e-5,-1.005e-4
2.041e+06,6.840e-2,-5.808e-1,6.764e-5,-2.832e-4,9.863e-2,1.162e-2,1.353e-6,-5.664e-6,1.695e-9,-5.808e-2,1.719e-7,-5.888e+0,1.695e-9,5.170e-26,1.719e-7,-5.888e+0,4.945e-4,5.823e-5,6.858e-6,-5.823e-5
2.245e+06,5.614e-2,-5.268e-1,3.758e-5,-1.743e-4,9.888e-2,1.054e-2,7.517e-7,-3.487e-6,6.362e-10,-5.268e-2,6.434e-8,-5.328e+0,6.362e-10,0.000e+3,6.434e-8,-5.328e+0,3.348e-4,3.567e-5,3.801e-6,-3.567e-5
2.449e+06,4.692e-2,-4.821e-1,2.203e-5,-1.121e-4,9.906e-2,9.642e-3,4.407e-7,-2.242e-6,2.611e-10,-4.821e-2,2.636e-8,-4.867e+0,2.611e-10,0.000e+3,2.636e-8,-4.867e+0,2.348e-4,2.285e-5,2.224e-6,-2.285e-5
2.653e+06,3.982e-2,-4.444e-1,1.350e-5,-7.476e-5,9.920e-2,8.888e-3,2.701e-7,-1.495e-6,1.154e-10,-4.444e-2,1.164e-8,-4.480e+0,1.154e-10,0.000e+3,1.164e-8,-4.480e+0,1.696e-4,1.519e-5,1.361e-6,-1.519e-5
2.857e+06,3.422e-2,-4.122e-1,8.594e-6,-5.141e-5,9.932e-2,8.245e-3,1.719e-7,-1.028e-6,5.433e-11,-4.122e-2,5.470e-9,-4.151e+0,5.433e-11,-1.616e-27,5.470e-9,-4.151e+0,1.256e-4,1.042e-5,8.654e-7,-1.042e-5
3.061e+06,2.974e-2,-3.844e-1,5.648e-6,-3.629e-5,9.941e-2,7.689e-3,1.130e-7,-7.258e-7,2.698e-11,-3.844e-2,2.714e-9,-3.867e+0,2.698e-11,0.000e+3,2.714e-9,-3.867e+0,9.497e-5,7.346e-6,5.682e-7,-7.346e-6
3.265e+06,2.608e-2,-3.602e-1,3.816e-6,-2.621e-5,9.948e-2,7.203e-3,7.633e-8,-5.243e-7,1.403e-11,-3.602e-2,1.411e-9,-3.621e+0,1.403e-11,0.000e+3,1.411e-9,-3.621e+0,7.317e-5,5.298e-6,3.836e-7,-5.298e-6
3.469e+06,2.306e-2,-3.388e-1,2.642e-6,-1.932e-5,9.954e-2,6.776e-3,5.284e-8,-3.863e-7,7.602e-12,-3.388e-2,7.638e-10,-3.404e+0,7.602e-12,0.000e+3,7.638e-10,-3.404e+0,5.728e-5,3.899e-6,2.654e-7,-3.899e-6
3.673e+06,2.054e-2,-3.198e-1,1.869e-6,-1.449e-5,9.959e-2,6.396e-3,3.738e-8,-2.898e-7,4.268e-12,-3.198e-2,4.286e-10,-3.211e+0,4.268e-12,1.010e-28,4.286e-10,-3.211e+0,4.549e-5,2.922e-6,1.877e-7,-2.922e-6
3.878e+06,1.841e-2,-3.029e-1,1.347e-6,-1.104e-5,9.963e-2,6.057e-3,2.695e-8,-2.208e-7,2.474e-12,-3.029e-2,2.483e-10,-3.040e+0,2.474e-12,0.000e+3,2.483e-10,-3.040e+0,3.659e-5,2.224e-6,1.352e-7,-2.224e-6
4.082e+06,1.660e-2,-2.876e-1,9.880e-7,-8.531e-6,9.967e-2,5.752e-3,1.976e-8,-1.706e-7,1.475e-12,-2.876e-2,1.480e-10,-2.886e+0,1.475e-12,0.000e+3,1.480e-10,-2.886e+0,2.976e-5,1.718e-6,9.913e-8,-1.718e-6
4.286e+06,1.504e-2,-2.738e-1,7.358e-7,-6.677e-6,9.970e-2,5.477e-3,1.472e-8,-1.335e-7,9.024e-13,-2.738e-2,9.051e-11,-2.747e+0,9.024e-13,-1.262e-29,9.051e-11,-2.747e+0,2.446e-5,1.343e-6,7.380e-8,-1.343e-6
4.49e+06,1.370e-2,-2.613e-1,5.556e-7,-5.286e-6,9.973e-2,5.227e-3,1.111e-8,-1.057e-7,5.650e-13,-2.613e-2,5.665e-11,-2.620e+0,5.650e-13,0.000e+3,5.665e-11,-2.620e+0,2.028e-5,1.063e-6,5.571e-8,-1.063e-6
4.694e+06,1.252e-2,-2.499e-1,4.249e-7,-4.229e-6,9.975e-2,4.998e-3,8.497e-9,-8.458e-8,3.613e-13,-2.499e-2,3.622e-11,-2.505e+0,3.613e-13,6.311e-30,3.622e-11,-2.505e+0,1.696e-5,8.500e-7,4.259e-8,-8.500e-7
4.898e+06,1.149e-2,-2.394e-1,3.287e-7,-3.416e-6,9.977e-2,4.789e-3,6.573e-9,-6.831e-8,2.355e-13,-2.394e-2,2.360e-11,-2.400e+0,2.355e-13,3.155e-30,2.360e-11,-2.400e+0,1.430e-5,6.863e-7,3.294e-8,-6.863e-7
5.102e+06,1.059e-2,-2.298e-1,2.570e-7,-2.783e-6,9.979e-2,4.597e-3,5.139e-9,-5.566e-8,1.562e-13,-2.298e-2,1.566e-11,-2.303e+0,1.562e-13,-3.155e-30,1.566e-11,-2.303e+0,1.214e-5,5.590e-7,2.575e-8,-5.590e-7
5.306e+06,9.784e-3,-2.210e-1,2.029e-7,-2.286e-6,9.980e-2,4.419e-3,4.057e-9,-4.573e-8,1.054e-13,-2.210e-2,1.056e-11,-2.214e+0,1.054e-13,0.000e+3,1.056e-11,-2.214e+0,1.037e-5,4.590e-7,2.033e-8,-4.590e-7
5.51e+06,9.069e-3,-2.127e-1,1.616e-7,-1.892e-6,9.982e-2,4.255e-3,3.232e-9,-3.784e-8,7.212e-14,-2.127e-2,7.225e-12,-2.131e+0,7.212e-14,0.000e+3,7.225e-12,-2.131e+0,8.910e-6,3.798e-7,1.619e-8,-3.798e-7
5.714e+06,8.429e-3,-2.051e-1,1.298e-7,-1.577e-6,9.983e-2,4.102e-3,2.596e-9,-3.154e-8,5.006e-14,-2.051e-2,5.015e-12,-2.055e+0,5.006e-14,-7.889e-31,5.015e-12,-2.055e+0,7.700e-6,3.164e-7,1.300e-8,-3.164e-7
5.918e+06,7.855e-3,-1.980e-1,1.051e-7,-1.322e-6,9.984e-2,3.961e-3,2.102e-9,-2.645e-8,3.520e-14,-1.980e-2,3.526e-12,-1.983e+0,3.520e-14,0.000e+3,3.526e-12,-1.983e+0,6.689e-6,2.653e-7,1.053e-8,-2.653e-7
6.122e+06,7.338e-3,-1.914e-1,8.569e-8,-1.116e-6,9.985e-2,3.828e-3,1.714e-9,-2.232e-8,2.505e-14,-1.914e-2,2.509e-12,-1.917e+0,2.505e-14,0.000e+3,2.509e-12,-1.917e+0,5.838e-6,2.238e-7,8.581e-9,-2.238e-7
